Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen;Log_Fiyat
500000.0;Volkswagen;Golf;1.6 Primeline;2005.0;154.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;1 değişen, 3 boyalı;13.122365377402328
2059000.0;Volkswagen;Golf;1.5 eTSI Life;2025.0;9.000 km;;;;1498 cc;116 hp;Hatchback/5;Tamamı orjinal;14.537731471682465
810000.0;Volkswagen;Golf;1.2 TSi Midline Plus;2013.0;221.000 km;;;;1197 cc;105 hp;Hatchback/5;2 boyalı;13.60479076121576
1155000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2015.0;233.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Belirtilmemiş;13.959611767738522
1435000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2017.0;209.000 km;;;;1598 cc;120 hp;Sedan;Tamamı orjinal;14.176676104039727
2085000.0;Volkswagen;Passat;1.5 TSi Business;2022.0;61.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal;14.550279892831231
1135000.0;Volkswagen;Jetta;1.2 TSi BlueMotion Comfortline;2016.0;117.000 km;;;;1200 cm3' e kadar;101 - 125 HP;Sedan;Tamamı orjinal;13.942144089954521
1199000.0;Volkswagen;Passat Variant;1.6 TDi BlueMotion Comfortline;2014.0;197.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Station wagon;Tamamı orjinal;13.99699926803766
1095000.0;Volkswagen;Polo;1.2 TSi Comfortline;2014.0;35.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;1 boyalı;13.90626583447433
1249750.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;280.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 9 boyalı;14.03845488943553
1079900.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;280.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 boyalı;13.89237992823209
