Fiyat;Seri;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Log_Fiyat;Boya;Değişen;Marka_Audi;Marka_BMW;Marka_Chevrolet;Marka_Citroen;Marka_Fiat;Marka_Ford;Marka_Honda;Marka_Hyundai;Marka_Mercedes - Benz;Marka_Opel;Marka_Peugeot;Marka_Renault;Marka_Skoda;Marka_Toyota;Marka_Volkswagen
1695000.0;1383730.0;2016.0;159000;1;1;2;1598.0;120.0;8;14.343193888767017;1;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1020000.0;1383730.0;2013.0;233500;1;1;2;1598.0;105.0;8;13.83531416565213;1;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1550000.0;1383730.0;2018.0;118000;1;0;2;1300.5;113.0;8;14.253766134056512;3;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1365000.0;829838.5428571429;2023.0;48000;1;0;2;1200.0;88.0;4;14.12666571920166;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
265000.0;829838.5428571429;2001.0;316000;0;1;2;1500.5;63.0;4;12.487488878546143;5;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
905000.0;829838.5428571429;2014.0;170000;1;1;2;1500.5;88.0;4;13.715691327653827;2;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1685000.0;1280278.5714285714;2018.0;105000;1;0;2;1300.5;113.0;4;14.337276715240233;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
2130000.0;1280278.5714285714;2024.0;12000;1;0;2;1500.5;113.0;4;14.571633007169066;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1185000.0;829838.5428571429;2017.0;96500;1;0;2;999.0;95.0;4;13.98525417643287;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1100000.0;861580.0;2015.0;93800;1;0;2;1395.0;125.0;8;13.910821646859096;0;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1525000.0;1383730.0;2019.0;170000;1;1;2;1598.0;120.0;8;14.23750562376114;1;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1690000.0;1383730.0;2020.0;193000;1;1;2;1598.0;120.0;9;14.340239678615058;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
730000.0;861580.0;2011.0;315000;2;1;2;1598.0;105.0;8;13.500801182986647;4;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
800000.0;861580.0;2015.0;232000;1;1;2;1598.0;105.0;8;13.592368256649284;2;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1055000.0;1383730.0;2013.0;178000;1;1;2;1598.0;105.0;8;13.869052272759154;4;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
680000.0;1383730.0;2009.0;289000;2;1;2;1968.0;140.0;8;13.429849547739444;6;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1465000.0;1280278.5714285714;2018.0;149000;1;1;2;1500.5;113.0;4;14.19736648302693;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
279900.0;829838.5428571429;2001.0;310000;0;1;2;1390.0;100.0;4;12.5421912482017;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1165000.0;829838.5428571429;2017.0;65000;1;0;2;1197.0;90.0;4;13.968232503350668;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1165000.0;829838.5428571429;2017.0;65000;1;0;2;1197.0;90.0;4;13.968232503350668;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
697500.0;861580.0;2008.0;199000;2;1;2;1595.0;102.0;8;13.455259226368389;7;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1775000.0;1383730.0;2016.0;148000;1;1;2;1598.0;120.0;8;14.389311544271775;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1905000.0;1383730.0;2022.0;93000;1;0;2;1498.0;150.0;8;14.459993091477184;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1255000.0;829838.5428571429;2023.0;104000;1;0;2;1200.0;88.0;4;14.042646927360453;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
985000.0;1280278.5714285714;2014.0;235000;1;1;2;1500.5;113.0;4;13.800397935382136;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
500000.0;1280278.5714285714;2005.0;154000;0;1;2;1500.5;113.0;4;13.122365377402328;3;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
2059000.0;1280278.5714285714;2025.0;9000;1;0;2;1498.0;116.0;4;14.537731471682465;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
810000.0;1280278.5714285714;2013.0;221000;1;0;2;1197.0;105.0;4;13.60479076121576;2;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1155000.0;1383730.0;2015.0;233000;1;1;2;1500.5;113.0;8;13.959611767738522;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1435000.0;1383730.0;2017.0;209000;1;1;2;1598.0;120.0;8;14.176676104039728;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
2085000.0;1383730.0;2022.0;61000;1;0;2;1500.5;138.0;8;14.550279892831233;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1135000.0;861580.0;2016.0;117000;1;0;2;1200.0;113.0;8;13.94214408995452;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
