Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;İlan Tarihi;Boya-değişen;Araç Durumu;Link
979.000 TL;Skoda;SuperB;1.6 TDI Prestige;2013;235.000 km;Yarı Otomatik;60 lt;Gri;1598 cc;105 hp;Sedan;29.Kas.25;3 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/ihani-2013-skoda-super-b-1-6-tdi-prestige-otomatik-kk-12-taksit/35287546
2.230.000 TL;Skoda;SuperB;1.6 TDI Prestige;2018;50.000 km;Yarı Otomatik;66 lt;Gri;1598 cc;120 hp;Sedan;29.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/valery-boyasiz-2018-50-000km-1-6-tdi-dsg-prestige-deri-hayalet/35287543
2.125.000 TL;Skoda;SuperB;1.6 TDI Prestige;2019;116.300 km;Otomatik;Dizel;Gri;1401 - 1600 cm3;101 - 125 HP;Sedan;29.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/yigit-otomotiv-den-hatasiz-boyasiz-cam-tvn-dusuk-km/35287539
1.389.000 TL;Skoda;SuperB;1.6 TDI Prestige;2015;217.080 km;Otomatik;Dizel;Beyaz;1401 - 1600 cm3;101 - 125 HP;Sedan;29.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/otokoc-2-el-kirsehir-den-2015-sokoda-super-b-1-6-otomatik-orj/35287537
1.800.000 TL;Skoda;SuperB;1.6 TDI Prestige;2015;62.000 km;Düz;66 lt;Beyaz;1598 cc;120 hp;Sedan;29.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/hatasiz-boyasiz-2015-model-62-bin-kmde-maunel-cam-tavanli/34094036
499.500 TL;Skoda;Octavia;1.6 Elegance;2009;310.000 km;Düz;LPG & Benzin;Siyah;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;29.Kas.25;8 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-octavia-1-6-elegance/degisensiz-octavia-a5-kasa-elegans-bakimli/35287332
349.000 TL;Skoda;Octavia;1.6 Elegance;2001;313.000 km;Düz;55 lt;Lacivert;1595 cc;100 hp;Station wagon;29.Kas.25;1 değişen, 3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-octavia-1-6-elegance/2001-skoda-octavia-1-6-elegance-lpg-li-masrafsiz-bakimli-full/35287330
265.000 TL;Skoda;Fabia;1.4 Comfort;2001;284.000 km;Düz;LPG & Benzin;Yeşil;1201 - 1400 cm3;51 - 75 HP;Hatchback/5;29.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-fabia-1-4-comfort/y-d-otomotiv-2001-fabia-benzin-lpg-uygun-fiyata/35287310
1.295.750 TL;Skoda;SuperB;2.0 TDI Prestige;2015;295.000 km;Otomatik;Dizel;Siyah;1801 - 2000 cm3;176 - 200 HP;Sedan;29.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-2-0-tdi-prestige/makam-paket-superb-2-0-tdi-4-4-emsalsiz-ekspertiz-raporlu/35287300
5.100.000 TL;Skoda;SuperB;2.0 TDI L&K Crystal;2024;39.169 km;Yarı Otomatik;66 lt;Siyah;1968 cc;200 hp;Sedan;29.Kas.25;1 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-2-0-tdi-l-k-crystal/carpartner-2024-model-39-169-km-superb-2-0tdi-crystal-4x4-lk/35287299
1.198.000 TL;Skoda;SuperB;1.6 TDI Elegance;2015;133.000 km;Yarı Otomatik;60 lt;Beyaz;1598 cc;105 hp;Sedan;29.Kas.25;1 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-elegance/otomatik-sunroof-4k-isit-133000-km-2015-superb-1-6-tdi-elegance/35287283
1.347.500 TL;Skoda;Octavia;1.6 TDI Style;2019;145.574 km;Yarı Otomatik;50 lt;Şampanya;1598 cc;115 hp;Hatchback/5;29.Kas.25;1 değişen, 3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-skoda-octavia-1-6-tdi-style/basak-otomotiv-2-el-den-2019-skoda-octavia-style-145-bin-km/35287237
