Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen;Log_Fiyat
1000020.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2012.0;191000;Yarı Otomatik;Benzin;;1400.0;113.0;Sedan;Tamamı orjinal;13.815531557743777
885000.0;Volkswagen;Golf;1.6 TDi BlueMotion Midline Plus;2015.0;215992;Otomatik;Dizel;;1598.0;90.0;Hatchback/5;3 boyalı;13.69334405393293
509000.0;Volkswagen;Polo;1.2 TDi Trendline;2013.0;211750;Otomatik;Dizel;;1199.0;75.0;Hatchback/5;1 değişen, 9 boyalı;13.140205260167273
2050000.0;Volkswagen;Golf;1.5 eTSI Life;2025.0;6021;Otomatik;Benzin;;1498.0;116.0;Hatchback/5;Tamamı orjinal;14.53335083891935
295000.0;Volkswagen;Polo;1.Haz;1999.0;175000;Düz;Dizel;;1598.0;75.0;Hatchback/5;Belirtilmemiş;12.59473402514672
985000.0;Volkswagen;Golf;1.4 TSi Highline;2013.0;230000;Otomatik;Benzin;;1395.0;122.0;Hatchback/5;1 değişen, 1 boyalı;13.800397935382136
1435000.0;Volkswagen;Golf;1.0 eTSI Life;2022.0;127000;Otomatik;Benzin;;999.0;110.0;Hatchback/5;2 boyalı;14.176676104039728
1457000.0;Volkswagen;Passat;1.5 TSi Impression;2020.0;176000;Otomatik;Benzin;;1500.5;138.0;Sedan;2 boyalı;14.191890771518905
1595000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2018.0;173500;Otomatik;Dizel;;1598.0;120.0;Sedan;Belirtilmemiş;14.282384921160132
779999.0;Volkswagen;Polo;1.4 TDi Comfortline;2016.0;190000;Otomatik;Dizel;;1500.5;88.0;Hatchback/5;1 değişen, 7 boyalı;13.567049198665774
2495000.0;Volkswagen;Golf;1.5 eTSI R Line;2024.0;32000;Otomatik;Benzin;;1500.5;138.0;Hatchback/5;Tamamı orjinal;14.72979968796928
