Fiyat;Marka;Seri;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Log_Fiyat;Boya;Değişen
1020000.0;Volkswagen;Passat;2013.0;233500;Otomatik;Dizel;Beyaz;1598.0;105.0;Sedan;13.83531416565213;1;0
1550000.0;Volkswagen;Passat;2018.0;118000;Otomatik;Benzin;Beyaz;1300.5;113.0;Sedan;14.253766134056512;3;0
1365000.0;Volkswagen;Polo;2023.0;48000;Otomatik;Benzin;Beyaz;1200.0;88.0;Hatchback/5;14.12666571920166;0;0
265000.0;Volkswagen;Polo;2001.0;316000;Düz;Dizel;Beyaz;1500.5;63.0;Hatchback/5;12.487488878546143;5;2
905000.0;Volkswagen;Polo;2014.0;170000;Otomatik;Dizel;Beyaz;1500.5;88.0;Hatchback/5;13.715691327653827;2;1
1685000.0;Volkswagen;Golf;2018.0;105000;Otomatik;Benzin;Beyaz;1300.5;113.0;Hatchback/5;14.337276715240233;0;0
2130000.0;Volkswagen;Golf;2024.0;12000;Otomatik;Benzin;Beyaz;1500.5;113.0;Hatchback/5;14.571633007169066;0;0
1185000.0;Volkswagen;Polo;2017.0;96500;Otomatik;Benzin;Beyaz;999.0;95.0;Hatchback/5;13.98525417643287;0;0
1100000.0;Volkswagen;Jetta;2015.0;93800;Otomatik;Benzin;Beyaz;1395.0;125.0;Sedan;13.910821646859096;0;3
1525000.0;Volkswagen;Passat;2019.0;170000;Otomatik;Dizel;Beyaz;1598.0;120.0;Sedan;14.23750562376114;1;2
1690000.0;Volkswagen;Passat;2020.0;193000;Otomatik;Dizel;Beyaz;1598.0;120.0;Station wagon;14.340239678615058;0;0
730000.0;Volkswagen;Jetta;2011.0;315000;Yarı Otomatik;Dizel;Beyaz;1598.0;105.0;Sedan;13.500801182986647;4;1
800000.0;Volkswagen;Jetta;2015.0;232000;Otomatik;Dizel;Beyaz;1598.0;105.0;Sedan;13.592368256649284;2;1
1055000.0;Volkswagen;Passat;2013.0;178000;Otomatik;Dizel;Beyaz;1598.0;105.0;Sedan;13.869052272759154;4;0
680000.0;Volkswagen;Passat;2009.0;289000;Yarı Otomatik;Dizel;Beyaz;1968.0;140.0;Sedan;13.429849547739444;6;0
1465000.0;Volkswagen;Golf;2018.0;149000;Otomatik;Dizel;Beyaz;1500.5;113.0;Hatchback/5;14.19736648302693;0;0
279900.0;Volkswagen;Polo;2001.0;310000;Düz;Dizel;Beyaz;1390.0;100.0;Hatchback/5;12.5421912482017;0;0
1165000.0;Volkswagen;Polo;2017.0;65000;Otomatik;Benzin;Beyaz;1197.0;90.0;Hatchback/5;13.968232503350668;0;0
1165000.0;Volkswagen;Polo;2017.0;65000;Otomatik;Benzin;Beyaz;1197.0;90.0;Hatchback/5;13.968232503350668;0;0
697500.0;Volkswagen;Jetta;2008.0;199000;Yarı Otomatik;Dizel;Beyaz;1595.0;102.0;Sedan;13.455259226368389;7;0
1775000.0;Volkswagen;Passat;2016.0;148000;Otomatik;Dizel;Beyaz;1598.0;120.0;Sedan;14.389311544271775;0;0
1905000.0;Volkswagen;Passat;2022.0;93000;Otomatik;Benzin;Beyaz;1498.0;150.0;Sedan;14.459993091477184;0;0
1255000.0;Volkswagen;Polo;2023.0;104000;Otomatik;Benzin;Beyaz;1200.0;88.0;Hatchback/5;14.042646927360453;0;0
985000.0;Volkswagen;Golf;2014.0;235000;Otomatik;Dizel;Beyaz;1500.5;113.0;Hatchback/5;13.800397935382136;0;0
